State,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Uttar Pradesh,BIJNOR,Jowar,2005,Kharif     ,10.0,10.0,1.0
Arunachal Pradesh,LONGDING,Urad,2016,Kharif     ,19.0,16.0,0.84
Mizoram,KOLASIB,Peas & beans (Pulses),2005,Rabi       ,54.0,47.0,0.87
Himachal Pradesh,UNA,Wheat,2002,Rabi       ,36782.0,68949.0,1.87
Assam,DHEMAJI,Niger seed,2016,Kharif     ,2.0,1.0,0.5
Uttar Pradesh,ALIGARH,Onion,1997,Kharif     ,88.0,870.0,9.89
Gujarat,DOHAD,Groundnut,2006,Kharif     ,1400.0,1300.0,0.93
Nagaland,KOHIMA,Small millets,2009,Kharif     ,1940.0,700.0,0.36
Assam,DIBRUGARH,Potato,2016,Whole Year ,1232.0,9003.0,7.31
Maharashtra,PARBHANI,Other Kharif pulses,2007,Kharif     ,800.0,400.0,0.5
Haryana,KARNAL,Moong(Green Gram),2008,Kharif     ,23.0,,0.0
Nagaland,KIPHIRE,Tapioca,2010,Kharif     ,100.0,2350.0,23.5
Karnataka,YADAGIRI,Maize,2011,Summer     ,141.0,480.0,3.4
Assam,CACHAR,Niger seed,2014,Kharif     ,19.0,10.0,0.53
Madhya Pradesh,KATNI,Rice,2003,Kharif     ,110762.0,95821.0,0.87
Chhattisgarh,BALRAMPUR,Potato,2011,Rabi       ,1503.0,7611.0,5.06
Rajasthan,BUNDI,Other  Rabi pulses,2007,Rabi       ,3.0,3.0,1.0
Madhya Pradesh,MANDSAUR,Rice,2000,Kharif     ,21.0,7.0,0.33
Maharashtra,DHULE,Groundnut,2017,Kharif     ,15200.0,17600.0,1.16
Bihar,SITAMARHI,Ragi,2001,Kharif     ,641.0,727.0,1.13
Telangana,"HANUMAKONDA
",Garlic,2017,Rabi       ,54.0,76.0,1.41
Maharashtra,AMRAVATI,Groundnut,2005,Kharif     ,1300.0,1000.0,0.77
Uttar Pradesh,ETAH,Maize,2000,Rabi       ,1872.0,3036.0,1.62
Karnataka,KOLAR,Onion,2016,Kharif     ,128.0,919.0,7.18
Rajasthan,KARAULI,Sannhamp,2012,Whole Year ,3.0,3.0,1.0
Uttarakhand,HARIDWAR,Tobacco,2017,Whole Year ,4.0,8.0,2.0
Rajasthan,CHITTORGARH,Tobacco,2000,Whole Year ,13.0,4.0,0.31
Maharashtra,HINGOLI,Sunflower,2011,Kharif     ,100.0,100.0,1.0
Tamil Nadu,TIRUCHIRAPPALLI,Jowar,2004,Kharif     ,38009.0,17263.0,0.45
Karnataka,MYSURU,Dry chillies,2013,Rabi       ,221.0,419.0,1.9
Maharashtra,RAIGAD,Other Cereals,1998,Kharif     ,4700.0,2900.0,0.62
Nagaland,KIPHIRE,Maize,2016,Rabi       ,300.0,590.0,1.97
Karnataka,KOLAR,Rapeseed &Mustard,2018,Kharif     ,12.0,2.0,0.17
Uttarakhand,BAGESHWAR,other oilseeds,2002,Rabi       ,34.0,16.0,0.47
Meghalaya,WEST GARO HILLS,Rapeseed &Mustard,2010,Rabi       ,5988.0,4142.0,0.69
Chhattisgarh,KOREA,Gram,2019,Rabi       ,489.0,184.0,0.38
Gujarat,MAHESANA,Arhar/Tur,2019,Kharif     ,20.0,20.0,1.0
Uttar Pradesh,SULTANPUR,Dry chillies,2008,Kharif     ,1.0,1.0,1.0
Rajasthan,GANGANAGAR,Moth,2010,Kharif     ,4662.0,2267.0,0.49
Kerala,KOZHIKODE,Sweet potato,2004,Whole Year ,26.0,297.0,11.42
Rajasthan,UDAIPUR,Turmeric,2016,Whole Year ,46.0,81.0,1.76
Uttar Pradesh,SITAPUR,Turmeric,2006,Rabi       ,41.0,139.0,3.39
Kerala,ERNAKULAM,Arecanut,2005,Whole Year ,5644.0,6050.0,1.07
Meghalaya,WEST KHASI HILLS,Other  Rabi pulses,2011,Rabi       ,7.0,6.0,0.86
Uttar Pradesh,FATEHPUR,Dry chillies,2009,Kharif     ,2098.0,1848.0,0.88
Rajasthan,SIROHI,Onion,2019,Whole Year ,90.0,1765.0,19.61
West Bengal,COOCHBEHAR,Masoor,2013,Rabi       ,214.0,89.0,0.42
Maharashtra,CHANDRAPUR,Other Kharif pulses,2011,Kharif     ,1300.0,300.0,0.23
Odisha,NAYAGARH,Other  Rabi pulses,2004,Rabi       ,297.0,146.0,0.49
Maharashtra,OSMANABAD,Castor seed,2011,Kharif     ,300.0,100.0,0.33
Haryana,JHAJJAR,Bajra,2001,Kharif     ,26082.0,32000.0,1.23
Maharashtra,JALGAON,Cotton(lint),2012,Kharif     ,558800.0,853300.0,1.53
Telangana,JOGULAMBA,Cowpea(Lobia),2017,Rabi       ,172.0,224.0,1.3
Bihar,GOPALGANJ,Peas & beans (Pulses),2007,Rabi       ,472.0,508.0,1.08
Uttarakhand,CHAMOLI,Turmeric,2012,Whole Year ,34.0,236.0,6.94
Uttar Pradesh,ETAWAH,Maize,2009,Kharif     ,4214.0,8651.0,2.05
Jharkhand,RANCHI,Gram,2012,Rabi       ,476.0,499.0,1.05
Uttarakhand,PITHORAGARH,Wheat,2015,Rabi       ,22551.0,24469.0,1.09
Jammu and Kashmir,ANANTNAG,Moong(Green Gram),2012,Kharif     ,154.0,80.0,0.52
Telangana,PEDDAPALLI,Cowpea(Lobia),2018,Kharif     ,25.0,20.0,0.8
Assam,DHEMAJI,Sugarcane,2008,Whole Year ,90.0,3455.0,38.39
Karnataka,DAKSHINA KANNADA,Wheat,2018,Rabi       ,3.0,3.0,1.0
Madhya Pradesh,GWALIOR,Wheat,1999,Rabi       ,99083.0,294677.0,2.97
Uttar Pradesh,BANDA,Dry chillies,2016,Kharif     ,68.0,63.0,0.93
Rajasthan,CHURU,Guar seed,1999,Whole Year ,593674.0,21658.0,0.04
West Bengal,MURSHIDABAD,Sunflower,2005,Kharif     ,113.0,178.0,1.58
Uttar Pradesh,HAMIRPUR,Rice,2005,Kharif     ,203.0,158.0,0.78
Andhra Pradesh,ANANTAPUR,Arhar/Tur,2016,Kharif     ,70260.0,6956.0,0.1
Karnataka,BENGALURU URBAN,Sweet potato,2019,Whole Year ,22.0,424.0,19.27
Karnataka,BIDAR,Onion,2017,Rabi       ,209.0,2963.0,14.18
Madhya Pradesh,RAJGARH,Soyabean,2018,Kharif     ,382489.0,357627.0,0.93
Odisha,BARGARH,Sweet potato,2004,Whole Year ,1643.0,13715.0,8.35
Uttarakhand,CHAMPAWAT,Maize,2018,Kharif     ,597.0,1457.0,2.44
Himachal Pradesh,MANDI,Garlic,2008,Rabi       ,593.0,157.0,0.26
Karnataka,HAVERI,Dry chillies,2015,Kharif     ,5365.0,5296.0,0.99
Madhya Pradesh,UJJAIN,Potato,2018,Whole Year ,12392.04,247841.0,20.0
Jammu and Kashmir,PULWAMA,Urad,2009,Kharif     ,5.0,3.0,0.54
Tripura,WEST TRIPURA,Peas & beans (Pulses),2011,Rabi       ,283.0,212.0,0.75
Rajasthan,JAISALMER,Bajra,2006,Kharif     ,101758.0,1856.0,0.02
Uttar Pradesh,BALLIA,Rapeseed &Mustard,2007,Rabi       ,960.0,1111.0,1.16
Madhya Pradesh,RAISEN,Soyabean,2003,Kharif     ,69342.0,67370.0,0.97
West Bengal,HOOGHLY,Rice,2001,Winter     ,196336.0,536903.0,2.73
Puducherry,PONDICHERRY,Moong(Green Gram),2011,Kharif     ,1.0,1.0,1.0
Madhya Pradesh,BETUL,Rapeseed &Mustard,2000,Rabi       ,242.0,140.0,0.58
Tamil Nadu,KARUR,Sugarcane,2004,Whole Year ,2842.0,257026.0,90.44
Assam,KOKRAJHAR,Sugarcane,2000,Whole Year ,69.0,2545.0,36.88
Madhya Pradesh,UMARIA,Sesamum,2013,Whole Year ,3738.0,2118.0,0.57
Nagaland,KOHIMA,Maize,2015,Kharif     ,4610.0,9120.0,1.98
Meghalaya,SOUTH GARO HILLS,Sugarcane,2007,Whole Year ,6.0,19.0,3.17
Jharkhand,LATEHAR,Maize,2011,Autumn     ,6959.0,6667.0,0.96
Rajasthan,UDAIPUR,Onion,2016,Whole Year ,70.0,52.0,0.74
Assam,BONGAIGAON,Turmeric,2005,Whole Year ,300.0,176.0,0.59
Rajasthan,ALWAR,Coriander,1998,Whole Year ,116.0,105.0,0.91
West Bengal,NADIA,Moong(Green Gram),2017,Rabi       ,100.0,85.0,0.85
Nagaland,TUENSANG,Rapeseed &Mustard,2002,Rabi       ,1500.0,1650.0,1.1
Assam,JORHAT,Onion,2015,Whole Year ,297.0,698.0,2.35
Assam,CHIRANG,Onion,2010,Whole Year ,195.0,390.0,2.0
Rajasthan,SIROHI,Gram,2012,Rabi       ,2578.0,2182.0,0.85
Chhattisgarh,RAIPUR,Coriander,2015,Whole Year ,172.0,76.0,0.44
Madhya Pradesh,KHANDWA,Linseed,1999,Rabi       ,295.0,81.0,0.27
Uttar Pradesh,AMETHI,Wheat,2011,Rabi       ,125328.0,360193.0,2.87
Maharashtra,GADCHIROLI,Moong(Green Gram),1997,Kharif     ,100.0,100.0,1.0
Uttar Pradesh,FIROZABAD,Jowar,2000,Kharif     ,194.0,159.0,0.82
Madhya Pradesh,BARWANI,Maize,2019,Kharif     ,65109.0,291102.0,4.47
Chhattisgarh,RAJNANDGAON,Sweet potato,2008,Whole Year ,44.0,236.0,5.36
Uttar Pradesh,SULTANPUR,Sannhamp,2013,Kharif     ,2.0,1.0,0.5
Andhra Pradesh,VIZIANAGARAM,Tobacco,2008,Whole Year ,1806.0,4540.0,2.51
Arunachal Pradesh,SIANG,Maize,2016,Kharif     ,2201.0,3773.0,1.71
Kerala,WAYANAD,Banana,2015,Whole Year ,9738.81,92295.0,9.48
Gujarat,MAHESANA,Bajra,2013,Kharif     ,17898.0,20454.0,1.14
Uttar Pradesh,PRATAPGARH,Potato,2012,Rabi       ,5773.0,98816.0,17.12
Chhattisgarh,BALODA BAZAR,Arhar/Tur,2015,Kharif     ,1167.0,347.0,0.3
Madhya Pradesh,CHHINDWARA,Banana,2007,Whole Year ,3.0,198.0,66.0
Madhya Pradesh,SHIVPURI,Groundnut,2010,Kharif     ,83353.0,146962.0,1.76
West Bengal,PURBA BARDHAMAN,Gram,2016,Rabi       ,192.0,242.0,1.26
Bihar,KATIHAR,Turmeric,2017,Whole Year ,6.0,7.0,1.17
Bihar,VAISHALI,Maize,2011,Autumn     ,13082.0,20653.0,1.58
Karnataka,UDUPI,Dry chillies,2009,Rabi       ,158.0,471.0,2.98
Himachal Pradesh,MANDI,Linseed,2002,Rabi       ,315.0,33.0,0.1
Madhya Pradesh,TIKAMGARH,Coriander,2017,Whole Year ,411.0,452.0,1.1
Kerala,WAYANAD,Cashewnut,2011,Whole Year ,799.46,340.0,0.42
Bihar,GOPALGANJ,Rice,2002,Summer     ,11.0,19.0,1.73
Uttar Pradesh,MATHURA,Rice,2015,Kharif     ,48723.0,108360.0,2.22
Maharashtra,DHULE,Castor seed,2004,Kharif     ,200.0,100.0,0.5
Karnataka,HAVERI,Groundnut,2009,Rabi       ,2992.0,2487.0,0.83
Arunachal Pradesh,TIRAP,Small millets,2001,Kharif     ,400.0,342.0,0.86
Bihar,BANKA,Linseed,2017,Rabi       ,161.0,137.0,0.85
Gujarat,BHAVNAGAR,Maize,2000,Kharif     ,5100.0,3800.0,0.75
West Bengal,BANKURA,Sugarcane,2007,Whole Year ,14.0,1093.0,78.07
Madhya Pradesh,SEHORE,Dry chillies,2000,Whole Year ,201.0,64.0,0.32
Bihar,KISHANGANJ,Sugarcane,2018,Whole Year ,92.0,5215.0,56.68
Uttar Pradesh,JHANSI,Maize,2012,Kharif     ,1219.0,1256.0,1.03
West Bengal,DINAJPUR DAKSHIN,Maize,2015,Summer     ,2165.0,9268.0,4.28
Uttar Pradesh,AZAMGARH,Banana,2018,Summer     ,11.0,496.0,45.09
Uttar Pradesh,KUSHI NAGAR,Peas & beans (Pulses),2014,Rabi       ,485.0,235.0,0.48
Bihar,ARARIA,Moong(Green Gram),2006,Summer     ,7716.0,4074.0,0.53
Uttarakhand,UTTAR KASHI,Gram,2019,Rabi       ,9.0,6.0,0.67
Tripura,DHALAI,Rice,2017,Kharif     ,5697.0,6354.0,1.12
Gujarat,BHARUCH,Bajra,2003,Kharif     ,3100.0,4200.0,1.35
Rajasthan,BIKANER,Sugarcane,2007,Whole Year ,7.0,400.0,57.14
Uttar Pradesh,KUSHI NAGAR,Potato,2009,Rabi       ,598.0,14870.0,24.87
Karnataka,DHARWAD,Urad,2018,Rabi       ,12.0,6.0,0.5
Andhra Pradesh,WARANGAL,other oilseeds,2003,Rabi       ,4.0,,0.0
Madhya Pradesh,CHHINDWARA,Mesta,2016,Kharif     ,90.0,60.0,0.67
Gujarat,GIR SOMNATH,Garlic,2014,Whole Year ,250.0,1462.0,5.85
Assam,CHIRANG,Masoor,2008,Rabi       ,1364.0,662.0,0.49
Karnataka,UDUPI,Moong(Green Gram),2011,Rabi       ,74.0,25.0,0.34
Rajasthan,ALWAR,Sugarcane,1997,Kharif     ,300.0,13900.0,46.33
Andhra Pradesh,GUNTUR,Maize,2009,Kharif     ,530.0,1912.0,3.61
Telangana,KHAMMAM,Horse-gram,2017,Rabi       ,1.0,,0.0
Madhya Pradesh,SEHORE,Cotton(lint),2019,Kharif     ,1.0,,0.0
West Bengal,HOWRAH,Jute,1998,Kharif     ,4961.0,87390.0,17.62
Tamil Nadu,TUTICORIN,Sugarcane,2014,Whole Year ,98.0,10465.0,106.79
Chhattisgarh,DURG,Masoor,2008,Rabi       ,5112.0,1744.0,0.34
Karnataka,BELAGAVI,Sunflower,2017,Summer     ,492.0,610.0,1.24
Odisha,JAGATSINGHAPUR,Potato,2017,Winter     ,68.0,934.0,13.74
Maharashtra,NANDED,Sesamum,2012,Rabi       ,400.0,100.0,0.25
Chhattisgarh,BILASPUR,Arhar/Tur,2013,Kharif     ,2188.0,1406.0,0.64
Odisha,SUNDARGARH,Urad,1999,Kharif     ,17410.0,7760.0,0.45
Manipur,THOUBAL,Potato,2011,Whole Year ,2230.0,19260.0,8.64
Odisha,JAJAPUR,Rice,2014,Autumn     ,13000.0,13000.0,1.0
Bihar,SHEOHAR,Arhar/Tur,2010,Kharif     ,130.0,228.0,1.75
Puducherry,YANAM,Coconut ,2008,Whole Year ,293.0,3750000.0,12798.63
Bihar,BUXAR,Coriander,2000,Whole Year ,7.0,4.0,0.57
Maharashtra,GADCHIROLI,Maize,2010,Kharif     ,1900.0,4600.0,2.42
Madhya Pradesh,REWA,Barley,2005,Rabi       ,5278.0,2715.0,0.51
Karnataka,CHITRADURGA,Groundnut,1997,Rabi       ,8545.0,9644.0,1.13
Tamil Nadu,TUTICORIN,Sesamum,2017,Kharif     ,4.0,2.0,0.5
Uttar Pradesh,FARRUKHABAD,Moong(Green Gram),2011,Kharif     ,107.0,45.0,0.42
Rajasthan,JALORE,Maize,2017,Kharif     ,34.0,69.0,2.03
Rajasthan,KOTA,other oilseeds,2018,Rabi       ,42.0,30.0,0.71
Chhattisgarh,JASHPUR,Small millets,2003,Kharif     ,7510.0,2338.0,0.31
Maharashtra,BEED,Jowar,2017,Rabi       ,500300.0,232640.0,0.47
Gujarat,KHEDA,Rice,2009,Kharif     ,87100.0,201300.0,2.31
Uttar Pradesh,SAHARANPUR,Rapeseed &Mustard,2012,Rabi       ,1178.0,1312.0,1.11
Odisha,KORAPUT,Rice,2008,Summer     ,16000.0,36000.0,2.25
Gujarat,AMRELI,Dry chillies,2002,Whole Year ,300.0,300.0,1.0
Sikkim,NORTH DISTRICT,Barley,1998,Rabi       ,150.0,207.0,1.38
Odisha,NABARANGPUR,Urad,1998,Winter     ,10061.0,5090.0,0.51
Madhya Pradesh,SEHORE,Linseed,1997,Rabi       ,6000.0,3600.0,0.6
Gujarat,PANCH MAHALS,Rice,2009,Summer     ,400.0,1100.0,2.75
Jharkhand,SARAIKELA KHARSAWAN,Rice,2009,Autumn     ,786.0,496.0,0.63
Chhattisgarh,KORBA,Jute,2012,Kharif     ,47.0,,0.0
Assam,NALBARI,Jute,2013,Kharif     ,4704.0,41735.0,8.87
Uttar Pradesh,UNNAO,Dry chillies,2007,Kharif     ,654.0,630.0,0.96
Chhattisgarh,BASTAR,Moong(Green Gram),2004,Rabi       ,14.0,4.0,0.29
Uttarakhand,UDAM SINGH NAGAR,other oilseeds,2010,Kharif     ,28.0,20.0,0.71
Madhya Pradesh,UMARIA,Sesamum,2002,Kharif     ,1945.0,323.0,0.17
Gujarat,BHARUCH,Other  Rabi pulses,2016,Rabi       ,5250.0,3885.0,0.74
Himachal Pradesh,CHAMBA,Dry chillies,1999,Whole Year ,29.0,7.0,0.24
Uttar Pradesh,FATEHPUR,Turmeric,2014,Rabi       ,54.0,153.0,2.83
Madhya Pradesh,MORENA,Jute,2013,Kharif     ,1054.0,,0.0
Rajasthan,HANUMANGARH,Gram,2018,Rabi       ,110432.0,106885.0,0.97
Tamil Nadu,SIVAGANGA,Rice,2003,Kharif     ,71955.0,49833.0,0.69
Haryana,ROHTAK,Gram,2010,Rabi       ,1036.0,1000.0,0.97
Uttarakhand,TEHRI GARHWAL,Maize,2008,Kharif     ,1818.0,1863.0,1.02
Assam,GOLAGHAT,Maize,2007,Kharif     ,196.0,106.0,0.54
Chhattisgarh,SURAJPUR,Moong(Green Gram),2016,Kharif     ,82.0,16.0,0.2
Meghalaya,SOUTH GARO HILLS,Cashewnut,2010,Whole Year ,3692.0,3581.0,0.97
West Bengal,PARAGANAS SOUTH,Urad,2003,Kharif     ,25.0,18.0,0.72
Tamil Nadu,MADURAI,Tapioca,2003,Whole Year ,123.0,4144.0,33.69
Andhra Pradesh,ANANTAPUR,Rice,2014,Kharif     ,22658.0,68155.0,3.01
Karnataka,YADAGIRI,Groundnut,2012,Summer     ,14431.0,9665.0,0.67
Kerala,ERNAKULAM,Rice,2007,Summer     ,2236.0,4123.0,1.84
Karnataka,BIDAR,Coconut ,2006,Whole Year ,26.0,124000.0,4769.23
Chhattisgarh,BILASPUR,Small millets,2011,Kharif     ,2482.0,716.0,0.29
Andhra Pradesh,PRAKASAM,Onion,2014,Rabi       ,48.0,848.0,17.67
Bihar,NAWADA,Onion,2001,Whole Year ,263.0,2951.0,11.22
Karnataka,BENGALURU URBAN,Arecanut,2011,Whole Year ,401.0,3247.0,8.1
Odisha,KORAPUT,Sesamum,2001,Kharif     ,253.0,89.0,0.35
Assam,DARRANG,Cotton(lint),2019,Kharif     ,1.0,3.0,3.0
Madhya Pradesh,TIKAMGARH,Barley,2017,Kharif     ,7400.0,23550.0,3.18
Uttar Pradesh,KUSHI NAGAR,Dry chillies,2011,Kharif     ,20.0,17.0,0.85
Assam,SONITPUR,Gram,1997,Rabi       ,238.0,187.0,0.79
Rajasthan,JHALAWAR,Sugarcane,2017,Whole Year ,10.0,704.0,70.4
Madhya Pradesh,MORENA,Bajra,1998,Kharif     ,61000.0,87700.0,1.44
Odisha,DEOGARH,Urad,2003,Kharif     ,1740.0,368.0,0.21
Assam,NALBARI,Mesta,1999,Kharif     ,302.0,1174.0,3.89
Bihar,PURNIA,Arhar/Tur,2011,Kharif     ,140.0,266.0,1.9
Chhattisgarh,RAIPUR,Garlic,2000,Whole Year ,5.0,14.0,2.8
Madhya Pradesh,ALIRAJPUR,Turmeric,2008,Whole Year ,2.0,2.0,1.0
Karnataka,BELAGAVI,Potato,2017,Kharif     ,3393.0,43309.0,12.76
Odisha,MAYURBHANJ,Small millets,2001,Kharif     ,3210.0,1280.0,0.4
Assam,GOLAGHAT,Mesta,2008,Kharif     ,5.0,18.0,3.6
Uttarakhand,HARIDWAR,Peas & beans (Pulses),2008,Rabi       ,59.0,32.0,0.54
Tamil Nadu,TIRUNELVELI,Small millets,2015,Kharif     ,148.0,127.0,0.86
Rajasthan,SIKAR,Wheat,2004,Rabi       ,86650.0,266724.0,3.08
Bihar,LAKHISARAI,Khesari,2008,Rabi       ,4018.0,2837.0,0.71
West Bengal,PARAGANAS SOUTH,Wheat,2003,Rabi       ,1879.0,3983.0,2.12
Assam,DHEMAJI,Rapeseed &Mustard,2015,Rabi       ,17112.0,21356.0,1.25
Arunachal Pradesh,DIBANG VALLEY,Potato,2016,Whole Year ,162.0,891.0,5.5
Chhattisgarh,MUNGELI,Sugarcane,2014,Whole Year ,149.0,1620.0,10.87
Madhya Pradesh,SEONI,Arhar/Tur,2011,Kharif     ,14671.0,11694.0,0.8
Rajasthan,BARAN,Sesamum,1999,Kharif     ,691.0,51.0,0.07
Tamil Nadu,VILLUPURAM,Jowar,2007,Whole Year ,2934.0,3081.0,1.05
Karnataka,CHITRADURGA,Coriander,2012,Whole Year ,48.0,19.0,0.4
Maharashtra,HINGOLI,Soyabean,2015,Kharif     ,165100.0,78900.0,0.48
Uttar Pradesh,AGRA,Onion,2019,Summer     ,49.0,1002.0,20.45
Chhattisgarh,JANJGIR-CHAMPA,Urad,2005,Rabi       ,102.0,29.0,0.28
Karnataka,KOPPAL,Rice,2004,Kharif     ,40357.0,125369.0,3.11
Uttar Pradesh,HARDOI,Rapeseed &Mustard,2012,Rabi       ,13592.0,12816.0,0.94
Karnataka,HAVERI,Rapeseed &Mustard,2006,Kharif     ,72.0,11.0,0.15
Uttar Pradesh,AZAMGARH,Sannhamp,2005,Kharif     ,97.0,33.0,0.34
Kerala,PALAKKAD,Jowar,2009,Kharif     ,2516.0,1283.0,0.51
Rajasthan,BARMER,Other Kharif pulses,1998,Kharif     ,7.0,2.0,0.29
Andhra Pradesh,VISAKHAPATANAM,Other  Rabi pulses,2016,Rabi       ,6659.0,8171.0,1.23
Maharashtra,KOLHAPUR,Maize,2016,Kharif     ,3400.0,13700.0,4.03
Assam,DHUBRI,Mesta,2007,Kharif     ,855.0,3962.0,4.63
West Bengal,MALDAH,Sesamum,2016,Winter     ,55.0,26.0,0.47
Telangana,SIDDIPET,Groundnut,2019,Kharif     ,43.0,118.0,2.74
Kerala,IDUKKI,Sesamum,2006,Kharif     ,7.0,3.0,0.43
Maharashtra,NAGPUR,Jowar,2010,Rabi       ,3300.0,1500.0,0.45
Gujarat,BANAS KANTHA,Arhar/Tur,2018,Kharif     ,464.0,609.0,1.31
West Bengal,DARJEELING,Cardamom,2005,Whole Year ,2874.0,704.0,0.24
Andhra Pradesh,KHAMMAM,Dry chillies,2003,Rabi       ,6505.0,29487.0,4.53
Madhya Pradesh,REWA,Arhar/Tur,1997,Kharif     ,12100.0,6700.0,0.55
Madhya Pradesh,RAIPUR,Sugarcane,1999,Whole Year ,96.0,3040.0,31.67
Uttar Pradesh,JHANSI,Small millets,2010,Kharif     ,5.0,4.0,0.8
Jharkhand,DEOGHAR,Potato,2006,Winter     ,319.48,2397.0,7.5
Maharashtra,AHMEDNAGAR,Other Kharif pulses,2014,Kharif     ,3000.0,800.0,0.27
Andhra Pradesh,KURNOOL,Sweet potato,2015,Rabi       ,17.0,207.0,12.18
Madhya Pradesh,SAGAR,Maize,2008,Kharif     ,3355.0,3760.0,1.12
Rajasthan,DHOLPUR,Sannhamp,2012,Whole Year ,25.0,12.0,0.48
Odisha,NAYAGARH,Groundnut,1999,Rabi       ,600.0,860.0,1.43
Haryana,ROHTAK,Coriander,2009,Whole Year ,2.0,,0.0
Maharashtra,LATUR,Sunflower,2019,Summer     ,10.0,5.0,0.5
Kerala,KASARAGOD,Coconut ,1998,Whole Year ,48596.0,337000000.0,6934.73
Maharashtra,SOLAPUR,Linseed,2007,Rabi       ,400.0,100.0,0.25
Haryana,FARIDABAD,Potato,2003,Whole Year ,251.0,4900.0,19.52
Assam,NALBARI,Linseed,2014,Rabi       ,185.0,150.0,0.81
Gujarat,SURENDRANAGAR,Dry chillies,2011,Whole Year ,100.0,100.0,1.0
Odisha,BOUDH,Niger seed,1999,Kharif     ,150.0,40.0,0.27
Karnataka,MYSURU,Rice,2003,Rabi       ,2484.0,7363.0,2.96
Andhra Pradesh,KADAPA,Coriander,2009,Whole Year ,17239.0,7464.0,0.43
Maharashtra,PUNE,Niger seed,2009,Kharif     ,3000.0,800.0,0.27
Gujarat,SURENDRANAGAR,Cotton(lint),1999,Kharif     ,376800.0,408400.0,1.08
Karnataka,BAGALKOTE,Bajra,2017,Kharif     ,21826.0,34150.0,1.56
Gujarat,MAHESANA,Urad,2016,Kharif     ,22538.0,9660.0,0.43
West Bengal,BIRBHUM,Sannhamp,2011,Kharif     ,114.0,388.0,3.4
Haryana,BHIWANI,Moth,2008,Kharif     ,1394.0,200.0,0.14
Bihar,GAYA,Sesamum,1997,Kharif     ,434.0,260.0,0.6
Uttar Pradesh,MUZAFFARNAGAR,Moong(Green Gram),2016,Summer     ,20.0,14.0,0.7
Uttar Pradesh,ETAH,Gram,2001,Rabi       ,2131.0,2659.0,1.25
Rajasthan,BUNDI,Arhar/Tur,2017,Kharif     ,7.0,5.0,0.71
West Bengal,MEDINIPUR WEST,Maize,2019,Autumn     ,246.0,582.0,2.37
Uttar Pradesh,MEERUT,Rice,2018,Summer     ,19.0,54.0,2.84
Uttar Pradesh,LUCKNOW,Sesamum,2011,Kharif     ,620.0,104.0,0.17
Himachal Pradesh,SIRMAUR,Arhar/Tur,2012,Kharif     ,6.0,2.0,0.33
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram),2013,Rabi       ,21453.0,5041.0,0.23
Gujarat,SURENDRANAGAR,Bajra,2001,Kharif     ,70700.0,113000.0,1.6
Karnataka,CHITRADURGA,Niger seed,1998,Kharif     ,555.0,163.0,0.29
Rajasthan,SAWAI MADHOPUR,Moth,2013,Kharif     ,88.0,25.0,0.28
Maharashtra,SANGLI,Arhar/Tur,2005,Kharif     ,12700.0,4400.0,0.35
Assam,CACHAR,Coconut ,2016,Whole Year ,990.0,2762000.0,2789.9
Uttar Pradesh,BIJNOR,Barley,2014,Rabi       ,58.0,100.0,1.72
Gujarat,SABAR KANTHA,Wheat,2009,Rabi       ,104500.0,220000.0,2.11
Chhattisgarh,KONDAGAON,Masoor,2016,Rabi       ,1.0,,0.0
Chhattisgarh,MAHASAMUND,Sweet potato,2005,Whole Year ,3.0,15.0,5.0
Assam,HAILAKANDI,Other  Rabi pulses,2016,Rabi       ,3370.0,2898.0,0.86
Assam,CHIRANG,Linseed,2010,Rabi       ,227.0,100.0,0.44
Maharashtra,BULDHANA,Ragi,2016,Kharif     ,5.0,3.0,0.6
Uttar Pradesh,AMROHA,Peas & beans (Pulses),2016,Rabi       ,71.0,67.0,0.94
Bihar,SAMASTIPUR,Banana,1998,Whole Year ,1609.0,13435.0,8.35
Tamil Nadu,COIMBATORE,Black pepper,2013,Whole Year ,128.0,26.0,0.2
Odisha,MAYURBHANJ,Sesamum,2018,Summer     ,20.0,10.0,0.52
Andhra Pradesh,MEDAK,Urad,2003,Rabi       ,61.0,25.0,0.41
Uttar Pradesh,BAGHPAT,Tobacco,2003,Whole Year ,1.0,4.0,4.0
Chhattisgarh,JASHPUR,Sugarcane,2001,Whole Year ,35.0,90.0,2.57
Tripura,WEST TRIPURA,Moong(Green Gram),2006,Kharif     ,209.0,101.0,0.48
Maharashtra,AMRAVATI,Jowar,2006,Kharif     ,94700.0,111500.0,1.18
Kerala,THIRUVANANTHAPURAM,Black pepper,2013,Whole Year ,2529.0,909.0,0.36
Chhattisgarh,KORBA,Urad,2007,Rabi       ,9.0,1.0,0.11
Karnataka,CHAMARAJANAGARA,Turmeric,2000,Whole Year ,2890.0,15606.0,5.4
Maharashtra,JALGAON,Soyabean,2016,Kharif     ,33900.0,63600.0,1.88
Madhya Pradesh,VIDISHA,Khesari,2009,Whole Year ,8876.0,7601.0,0.86
Bihar,BUXAR,Linseed,2018,Rabi       ,161.0,137.0,0.85
Uttar Pradesh,GORAKHPUR,Maize,2019,Kharif     ,2529.0,2471.0,0.98
Haryana,PANCHKULA,Bajra,2008,Kharif     ,679.0,2000.0,2.95
